region,year,adj_pe,adj_lower,adj_upper,pe,lower,upper
East Midlands,2010,109.280220146247,97.3008546153916,121.610098052387,102.880831951751,91.4121490456538,114.349514857847
West Midlands,2010,86.0524765411013,76.3818026859322,95.8123870781988,83.3361250473784,74.1996063544764,92.7564295481658
South West,2010,129.732982580377,117.048516699592,141.894450012386,120.870301722491,109.31652288137,132.720331303127
Yorkshire and The Humber,2010,190.443050352372,175.601829882606,205.691117082912,182.700410353216,168.535346892286,197.15455674192
South East,2010,53.5996805777379,47.6153453331023,59.8443131472983,52.9219249635044,47.0218454912219,59.0007947228259
North West,2010,190.008283459787,177.421880399147,202.673215342801,185.519329795204,173.410842069643,197.844040515865
North East,2010,149.078264751156,130.184169320084,168.457024605097,136.794827051002,119.841621989125,154.332625390874
London,2010,49.4685101150729,43.6684206867584,55.1219146377225,50.8082944629227,44.966225761611,56.8273955491226
East of England,2010,48.1999065262299,41.3542157546366,55.4221579843124,47.2616142761937,40.3582324156261,54.1649961367613
East of England,2011,50.5329572698704,43.5382812940503,57.8935671473448,49.5831324513162,42.4621506630953,56.7041142395372
North West,2011,170.265126022923,158.340710436125,182.296137856361,165.318327228554,153.679227267221,177.172966078059
South West,2011,84.2197836343348,74.2612748331289,94.1574121159674,78.774609320718,69.3334576418304,88.5107969895708
London,2011,43.0129972680702,37.8597330524942,48.3696986977729,44.8145796765881,39.4298821185485,50.3729771558549
North East,2011,125.748161969861,108.784885105405,143.510574248346,115.029712116249,99.2642185774737,131.379112823127
Yorkshire and The Humber,2011,200.047552788995,184.936272315789,215.650136856505,190.82145903872,176.430700438515,205.50003281093
South East,2011,45.3888979961808,39.8616897936746,51.1742195041672,44.8451241604886,39.3284620613809,50.3617862595963
West Midlands,2011,73.5477409046412,64.7174506249577,82.729250852248,71.0292188878256,62.4947003392884,79.8390444863156
East Midlands,2011,89.857641862885,79.0546987931133,101.23815446824,84.3728392065457,73.9522893443827,94.7933890687087
South West,2012,98.3433015621007,87.6026491254149,109.455658957669,92.8914657888719,82.8331542066374,103.245610064702
North West,2012,152.416905772955,141.063800012609,163.954936326979,147.20826028845,136.167640766817,158.465362545802
London,2012,46.8550000164599,41.4842948502607,52.515823783714,49.1628006305259,43.6427668755195,55.0278364952202
Yorkshire and The Humber,2012,203.777709057061,188.577321339808,219.241991871797,194.215719121937,179.498034611954,208.940618183151
South East,2012,54.4161056410837,48.5272361904543,60.6472411666093,53.106507953056,47.2255859314088,58.9874299747031
West Midlands,2012,64.9954706164865,56.5434038596148,73.4671878701353,62.8186912056312,54.5530739417324,71.0843084695301
North East,2012,148.454015899169,129.000197521979,167.841281330291,135.147522334597,117.51958463878,152.775460030414
East Midlands,2012,108.38828922693,96.0961788284882,121.168384275988,101.086375275081,89.6299194105721,112.879785723841
East of England,2012,50.4103462895434,43.5203402021107,57.6238743779642,49.7345155686229,42.5917925880228,56.877238549223
East Midlands,2013,113.814406883497,101.37731011195,126.343566987161,106.831629981067,95.3733479010786,118.963928653996
North West,2013,162.918777691012,151.093090363963,174.865990442069,156.743662371108,145.656385282444,168.271169579468
South West,2013,140.495972233208,126.222867497635,155.119911577117,134.38677840283,120.764009085283,148.009547720377
London,2013,50.6887352682517,44.9823229341083,56.7672584452076,51.9739856524445,46.1611056781579,57.9578326847983
West Midlands,2013,93.1508321496996,83.3955936081898,103.172847828046,89.78851224842,80.1486413015038,99.7038080795339
Yorkshire and The Humber,2013,237.484706946391,221.12450201282,253.951860808713,226.185710616498,210.566748502315,242.093912769832
North East,2013,216.775662979893,191.121197832082,242.857587537348,201.189203137677,177.862918715917,225.244433947616
East of England,2013,48.3870680622088,41.4349169555739,55.4013543279183,47.5853476255044,40.9762715664065,54.72314976933
South East,2013,58.1546873007138,51.8216469805353,64.621885896848,56.9676105309613,51.0883751003832,63.1984429327852
North West,2014,187.396885042376,175.049823806399,200.103588646689,180.497712098964,168.087133583113,192.690561167169
East Midlands,2014,131.883610626073,118.823765279771,145.543150552662,123.242907068468,111.153684576738,136.00375303196
North East,2014,232.990829071854,209.47018150792,258.017301803757,212.130433626515,190.26740843381,233.993458819219
South West,2014,148.086479196095,135.015078433592,161.761751080258,138.981920547193,126.293549881526,151.670291212861
South East,2014,62.7081455686789,56.2277249168614,69.4194678304396,61.515682598933,54.9563735033695,68.0749916944965
East of England,2014,58.0589855363684,50.4476579700022,65.9223933161185,57.0540646419923,49.6922498494772,64.6853744403048
Yorkshire and The Humber,2014,275.829628018313,257.772046871309,293.964456287338,261.029359574172,244.226137759186,278.701713552001
London,2014,52.5980448388317,46.5264253927765,58.5730412303163,53.2395595956024,47.4930674487755,59.1550662173361
West Midlands,2014,92.0734452241576,82.1047146694862,102.22574790564,88.7871700065395,79.166269231837,98.4080707812419
North West,2015,209.096679468283,195.649450425494,222.538264875463,201.257533573712,188.217088633731,214.297978513694
North East,2015,257.520804678602,232.238740693986,283.347639940671,234.521992655198,211.425129742186,257.618855568209
Yorkshire and The Humber,2015,319.253491071857,299.928507486581,339.234625311313,301.939702294395,283.719203018009,320.160201570781
East Midlands,2015,132.202413537271,119.060047145583,145.80242661947,123.716317814514,111.010317606537,137.091054875543
South East,2015,83.3696595798694,75.6982181558107,91.0623385742924,81.6951946992346,74.2843994997361,89.2824374034832
South West,2015,155.811050369174,142.216441933123,169.406905128246,145.673055037101,133.044140991546,159.18305610909
East of England,2015,80.5019587113083,71.4658090029121,89.5666429706562,79.5126710241703,70.6198065017302,88.6670903855057
West Midlands,2015,114.724147834976,103.628922497898,125.986824267806,110.301111085262,99.9005100400013,121.249112185536
London,2015,53.4265185719345,47.7558949523921,59.3958737406475,55.3782728017119,49.3733998473094,61.3831457561144
East of England,2016,89.6951397552132,80.1771621166473,99.582014807876,88.5750437730051,79.4570245610781,97.9535778195586
Yorkshire and The Humber,2016,346.384448581367,326.473744944676,366.580515077852,327.154894860379,308.114133783849,345.914371966461
West Midlands,2016,147.910569552479,135.647886235925,160.455913915126,141.850293048575,129.35007565349,154.078766587245
North West,2016,236.761179373042,222.39206582327,251.041043985316,227.820305920835,214.164093482193,241.476518359477
North East,2016,328.401539312726,299.606617470341,357.670536100073,294.927949930947,269.462283571447,320.393616290446
South West,2016,176.000777645886,161.393880047317,190.797643296487,164.82427478051,151.357282524909,178.291267036111
South East,2016,90.8272493899525,83.2384540476548,98.718204928264,89.3354844054294,81.788478846621,97.2335134786009
London,2016,66.610927411695,60.2713323385722,73.2669030262366,68.7718342307838,62.1591578624392,75.5498275083369
East Midlands,2016,144.740699121132,131.177596219076,158.923986198712,136.60298618781,123.640659031302,149.897680707304
North East,2017,351.055583875846,321.450687632342,381.408547551268,316.275614319393,289.573170333703,342.978058305083
North West,2017,240.386855467399,225.951966860037,254.799145072168,231.994638346136,217.914664963784,245.857996753375
East of England,2017,93.9794709599333,84.5566522434883,103.633655282964,92.833899091372,83.4724975023261,102.455339613447
West Midlands,2017,166.392914286085,153.030473988877,180.00757371341,158.585171719104,146.15771362868,171.282791941928
