Age,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Age 39,West Midlands,67135,68575,68569,66564,67578,69434,71251,72211,73167,76546,78217,79541,81109,82362,82496,82413,81660,81955,80137,81031,77996,73817,70154,67624,66702,64590,65843,70929,75372,74171
Age 40,West Midlands,68402,67029,68351,68459,66534,67565,69342,71252,72049,73065,76378,78686,79795,81113,82555,82402,82480,81628,81964,79997,81167,77935,73792,70295,67769,66877,65008,65871,71051,75379
Age 41,West Midlands,71201,68199,66950,68178,68280,66496,67410,69293,71235,71919,72971,76581,78915,79801,81309,82514,82407,82476,81681,81920,79903,81085,77916,73755,70296,68199,67097,65141,65956,70982
Age 42,West Midlands,73666,70935,68052,66841,68018,68205,66347,67337,69234,71149,71795,73088,76654,79016,79875,81173,82414,82327,82247,81526,81709,79796,81099,77857,73832,70507,68528,67280,65305,65959
Age 43,West Midlands,77285,73558,70857,67969,66828,67947,68128,66364,67304,69169,71126,71981,73104,76563,79270,79839,81165,82473,82360,81989,81250,81574,79814,80978,77915,73974,70614,68635,67318,65336
Age 44,West Midlands,82798,77139,73319,70612,67809,66750,67724,68020,66276,67239,69209,71138,71951,72861,76549,79348,79881,81222,82493,82238,81813,81328,81494,79713,80961,78110,74152,70681,68651,67359
Age 45,West Midlands,66764,82254,76985,73081,70371,67601,66575,67501,67722,66176,67087,68914,70952,71781,72692,76498,79244,79959,81166,82454,82198,81733,81128,81298,79710,81116,78344,74200,70668,68660
Age 46,West Midlands,68624,66691,81842,76835,72912,70184,67372,66465,67461,67489,66048,66882,68795,70752,71635,72571,76258,79350,79931,81148,82314,82090,81608,81071,81271,79894,81171,78422,74170,70705
Age 47,West Midlands,70295,68423,66651,81397,76591,72651,69844,67120,66303,67183,67293,65721,66742,68558,70575,71485,72213,76222,79393,79878,81138,82081,82056,81490,81032,81384,79881,81110,78344,74141
Age 48,West Midlands,66513,69905,68246,66567,80939,76384,72334,69590,66919,66074,66921,67006,65665,66469,68376,70434,71247,72114,76054,79502,79828,81053,81947,81917,81445,81088,81414,79935,81038,78221
Age 49,West Midlands,60388,66304,69635,68066,66458,80549,76140,72093,69334,66630,65950,66657,66859,65443,66238,68107,70183,71143,71886,75948,79482,79614,80819,81782,81925,81425,81146,81351,79800,80940
Age 50,West Midlands,55540,60015,66023,69233,67784,66359,80039,75887,71700,69004,66312,65703,66397,66581,65208,66002,67774,70050,70937,71639,75884,79229,79406,80793,81729,81943,81423,81052,81238,79636
Age 51,West Midlands,58225,55417,59723,65760,68874,67558,66154,79573,75573,71326,68623,65992,65397,66095,66343,64919,65757,67701,69781,70756,71447,75698,78941,79215,80726,81741,81886,81304,80856,81124
Age 52,West Midlands,58707,57904,55162,59353,65428,68507,67219,65943,79066,75209,70959,68327,65696,64956,65892,66050,64587,65774,67407,69371,70534,71176,75484,78855,79041,80652,81603,81779,81087,80736
Age 53,West Midlands,58349,58425,57639,54955,58989,65119,68087,66959,65728,78506,74786,70615,67925,65330,64619,65655,65721,64438,65585,67033,69142,70300,70882,75256,78614,78890,80654,81471,81638,80948
Age 54,West Midlands,57445,58014,58163,57374,54757,58570,64726,67591,66582,65474,77726,74210,70131,67477,64964,64288,65385,65616,64149,65218,66762,68909,70008,70656,74986,78380,78760,80418,81215,81392
Age 55,West Midlands,55882,57129,57687,57892,57027,54523,58221,64406,67128,66206,65217,77491,73564,69654,67060,64538,63876,65088,65368,63861,64940,66493,68549,69743,70524,74834,78133,78534,80122,80884
Age 56,West Midlands,54342,55512,56771,57277,57551,56703,54235,57794,63850,66485,65787,64708,76998,72901,69186,66678,64120,63389,64897,65022,63589,64627,66194,68267,69466,70377,74519,77805,78226,79789
Age 57,West Midlands,52169,53883,55042,56327,56830,57120,56261,53805,57194,63258,65940,65261,64071,76573,72360,68738,66157,63662,62990,64646,64693,63231,64374,65848,67940,69246,70232,74272,77508,77829
Age 58,West Midlands,52556,51638,53341,54485,55805,56305,56602,55728,53379,56644,62748,65521,64749,63394,76179,71778,68206,65646,63328,62653,64428,64250,62842,64044,65618,67705,68986,69913,73926,77080
Age 59,West Midlands,54336,52092,51184,52780,54062,55373,55853,56171,55236,52935,56207,62223,65093,64059,62743,75789,71087,67667,65200,62864,62218,64049,63769,62462,63690,65406,67319,68619,69519,73508
Age 60,West Midlands,55468,53747,51562,50662,52245,53520,54880,55351,55609,54739,52517,55733,61620,64550,63334,62029,75022,70448,67180,64758,62401,61765,63599,63382,62081,63284,65065,67056,68242,69119
Age 61,West Midlands,54620,54666,53069,50951,50077,51745,52989,54421,54734,55056,54183,51888,55166,60921,63894,62572,61110,74593,69865,66588,64119,61928,61329,63082,62967,61635,62901,64633,66522,67773
Age 62,West Midlands,53398,53837,53910,52333,50337,49478,51143,52433,53758,54031,54405,53576,51190,54549,60241,63296,61689,60472,74166,69297,65992,63615,61386,60772,62615,62567,61305,62402,64179,65978
Age 63,West Midlands,52566,52535,52940,53092,51611,49671,48832,50485,51643,53017,53357,53667,52904,50464,53892,59573,62605,61068,59804,73679,68535,65369,63079,60888,60368,62154,62110,60838,61820,63543
Age 64,West Midlands,53074,51666,51696,52062,52268,50913,49018,48251,49740,50956,52385,52734,52929,52124,49705,53225,58672,62086,60443,59152,73090,67813,64759,62480,60315,59902,61595,61651,60281,61240
Age 65,West Midlands,52705,51929,50629,50732,51064,51309,50046,48235,47478,48936,50275,51524,51961,52045,51361,48879,52508,58165,61534,59857,58370,72192,67133,64083,61905,59743,59319,60902,60933,59663
Age 66,West Midlands,51305,51452,50811,49568,49684,50072,50278,49154,47364,46678,48161,49489,50652,51092,51243,50478,48100,51961,57492,60977,59173,57687,71385,66342,63282,61245,59072,58663,60197,60199
Age 67,West Midlands,50341,50076,50270,49627,48462,48584,49004,49317,48202,46507,45875,47364,48683,49748,50340,50267,49663,47415,51368,56795,60470,58411,56952,70519,65555,62556,60488,58378,57926,59380
Age 68,West Midlands,50161,48981,48811,49028,48454,47268,47508,47918,48142,47213,45706,45052,46508,47731,48898,49432,49357,48885,46664,50747,56073,59733,57620,56267,69603,64708,61838,59719,57610,57099
Age 69,West Midlands,51596,48792,47631,47555,47725,47215,46098,46400,46729,47032,46216,44778,44082,45569,46789,47923,48517,48496,48058,45906,50050,55211,58881,56753,55539,68681,63892,61089,58874,56739
Age 70,West Midlands,52675,50085,47373,46239,46277,46429,45923,44941,45151,45530,45921,45221,43792,43101,44668,45810,47017,47664,47703,47237,45055,49230,54333,57990,55923,54661,67691,62861,60154,57955
Age 71,West Midlands,52688,50910,48388,45838,44746,44774,44958,44577,43540,43911,44379,44728,44115,42732,42065,43656,44824,46058,46716,46755,46341,44281,48414,53389,56975,55022,53873,66606,61813,59138
Age 72,West Midlands,35066,50742,49244,46727,44252,43230,43247,43584,43124,42194,42677,43169,43549,42967,41582,41029,42673,43867,45090,45798,45873,45401,43317,47527,52451,55899,54036,52875,65471,60684
Age 73,West Midlands,32833,33907,48750,47362,45000,42604,41601,41712,41982,41566,40826,41295,41871,42248,41684,40404,39962,41652,42823,44105,44864,44898,44382,42468,46563,51333,54747,52918,51902,64103
Age 74,West Midlands,34647,31385,32645,46500,45459,43123,40889,39983,40102,40375,40096,39437,39788,40514,41007,40483,39197,38903,40541,41747,43105,43873,43828,43337,41480,45551,50292,53475,51755,50654
Age 75,West Midlands,34410,32978,29988,31281,44286,43396,41089,39101,38347,38318,38749,38478,37957,38374,39142,39624,39264,37996,37734,39444,40601,42014,42695,42726,42233,40434,44396,48982,52266,50337
Age 76,West Midlands,35647,32729,31395,28405,30010,42023,41370,39264,37367,36531,36708,37078,36836,36447,36811,37615,38187,37933,36797,36568,38294,39457,40912,41569,41501,41047,39335,43122,47735,50709
Age 77,West Midlands,33650,33722,30870,29601,26933,28699,39782,39348,37314,35376,34810,34972,35287,35205,34919,35300,36133,36815,36558,35505,35318,37035,38150,39671,40287,40195,39758,38103,41907,46097
Age 78,West Midlands,30717,31590,31708,29101,27820,25338,27320,37534,37175,35294,33579,33117,33125,33518,33476,33275,33634,34675,35274,35193,34141,34019,35692,36811,38298,38892,38918,38367,36815,40255
Age 79,West Midlands,27773,28701,29575,29639,27233,26078,23742,25969,35071,35090,33281,31713,31247,31334,31726,31747,31634,32057,33092,33842,33697,32792,32650,34367,35370,36890,37353,37466,36981,35311
Age 80,West Midlands,24938,25789,26693,27405,27593,25311,24294,22255,24577,32675,33049,31214,29809,29391,29424,30049,29975,29920,30416,31538,32212,32168,31249,31350,32865,33874,35315,35686,35868,35199
Age 81,West Midlands,23111,22934,23828,24562,25245,25335,23457,22496,20646,23018,30343,30718,29184,27794,27537,27587,28229,28145,28157,28714,29873,30553,30446,29709,29765,31299,32225,33610,34048,34054
Age 82,West Midlands,20941,21108,20947,21797,22528,23133,23331,21599,20630,18981,21689,28040,28299,27028,25795,25651,25728,26351,26366,26453,27104,28204,28675,28826,27972,28169,29529,30421,31942,31939
Age 83,West Midlands,18429,18960,19129,19027,19809,20420,21066,21320,19672,18845,17474,20087,25614,25910,24935,23832,23791,23822,24535,24567,24691,25365,26366,26929,26969,26333,26416,27779,28713,29906
Age 84,West Midlands,16237,16572,17122,17207,17119,17837,18381,19142,19203,17862,17092,15946,18465,23212,23624,22818,21913,21887,21905,22615,22713,22879,23469,24615,24845,25059,24466,24547,25923,26563
Age 85,West Midlands,-,-,-,-,-,-,-,-,-,-,15815,15343,14286,16799,20898,21299,20752,19986,19984,20078,20724,20857,20885,21653,22586,22912,23078,22484,22707,23749
Age 86,West Midlands,-,-,-,-,-,-,-,-,-,-,15263,13982,13641,12673,15118,18517,18985,18695,18011,18134,18290,18847,18892,19108,19579,20618,20918,20946,20607,20451
Age 87,West Midlands,-,-,-,-,-,-,-,-,-,-,13305,13468,12186,11970,11209,13592,16327,16896,16686,16131,16298,16404,16869,17098,17075,17611,18504,18682,18978,18400
Age 88,West Midlands,-,-,-,-,-,-,-,-,-,-,11116,11508,11638,10528,10312,9664,12149,14097,14697,14797,14322,14524,14511,15038,15092,15110,15634,16355,16642,16670
Age 89,West Midlands,-,-,-,-,-,-,-,-,-,-,9123,9487,9821,9929,8876,8836,8341,10710,11981,12714,12855,12588,12628,12672,12986,13086,13214,13562,14305,14308
Aged 90+,West Midlands,-,-,-,-,-,-,-,-,-,-,30596,31911,32935,34000,34967,35202,35442,34914,36671,39617,42543,45250,46630,48833,49262,50643,51449,51638,53290,53439
All Ages,East,5121052,5142589,5154369,5177915,5205700,5232760,5266915,5302028,5338722,5374972,5400463,5432688,5474133,5508564,5562653,5606294,5653534,5708350,5751443,5807402,5862418,5905914,5951934,6017250,6075970,6129005,6168432,6201214,6236072,6269161
Age 0,East,68756,68267,66379,67099,65102,63900,65465,64043,63862,62176,61068,60303,61898,64344,64775,66081,68261,71656,71228,72057,73033,74437,72752,72104,72266,73469,71271,70353,68124,66840
Age 1,East,68100,69070,68256,66902,67976,65431,64564,65885,65471,64443,62264,61860,60967,62324,64842,65153,66985,68989,72106,71749,72836,74384,75485,74536,73880,73757,74814,72777,71823,69408
Age 2,East,68226,68305,69154,68469,67199,68151,65787,65072,66941,65932,64552,62756,62414,61427,62737,65260,65770,67781,69613,72790,72557,74034,75478,76973,76029,75256,74912,75956,74142,73085
Age 3,East,69217,68824,68742,69834,69128,67766,68721,66451,66388,67312,65831,65099,63370,62900,61785,63008,65731,66305,68342,70200,73497,73431,74884,76811,78383,77204,76218,76021,77069,75231
Age 4,East,66641,69110,68684,68997,70132,69363,67998,68942,67130,67014,67452,66499,65795,64004,63463,62087,63270,65975,66454,68958,70763,74176,74184,75981,77960,79340,78029,77050,76874,77973
Age 5,East,65670,66390,68934,68652,69097,70356,69529,68206,69308,67314,67149,67944,67068,66420,64324,63673,62408,63527,66332,66757,69396,71300,74687,75258,76980,78652,80083,78723,77744,77425
Age 6,East,65050,65609,66521,69174,68971,69489,70747,69955,68874,69578,67550,67667,68553,67576,66739,64777,63991,62691,63736,66497,66756,69894,71711,75502,75974,77594,79192,80610,79358,78279
Age 7,East,62959,64825,65220,66381,69016,68819,69454,70755,70233,68742,69207,67888,68458,69184,67967,67041,65164,64347,63007,63965,66592,67240,70298,72462,76354,76591,78194,79635,81136,79895
Age 8,East,63075,63077,65050,65479,66734,69289,69030,69871,71439,70579,68910,69999,68461,69038,69620,68404,67499,65683,64756,63276,64116,67096,67703,71001,73264,76979,77160,78720,80170,81579
Age 9,East,64362,62953,63086,65279,65592,67017,69453,69211,70323,71734,70674,69478,70607,69016,69517,70029,68876,67933,66120,65184,63403,64463,67553,68290,71555,73810,77422,77662,79249,80625
Age 10,East,65625,63967,62663,63273,65578,65712,67161,69599,69705,70521,71739,71175,70043,71110,69500,70065,70560,69382,68336,66580,65420,63880,64869,68085,68867,72089,74346,77942,78150,79819
Age 11,East,66044,65829,64071,62933,63737,66101,66045,67694,70195,70069,70836,72368,71648,70406,71679,70041,70631,71004,69774,68874,66925,65846,64265,65375,68613,69466,72618,74728,78431,78599
Age 12,East,64465,65982,65681,64084,62936,63932,66281,66083,68212,70494,70117,71153,72817,71852,70837,72142,70636,71096,71408,70215,69203,67378,66255,64810,65991,69188,69989,73192,75193,78781
Age 13,East,59384,64470,65774,65841,64201,63026,64176,66559,66790,68603,70645,70444,71554,72989,72049,71176,72659,71091,71563,71800,70482,69588,67729,66747,65339,66595,69583,70421,73596,75495
Age 14,East,59217,58898,63857,65446,65428,63811,62575,63881,66592,66378,68190,70647,70731,71445,73145,72029,71432,73006,71355,71925,71972,70574,69781,68061,67148,65705,66862,69926,70714,73852
Age 15,East,61459,59218,58910,64120,65666,65667,64124,62836,64277,66840,66682,68360,71086,71034,71860,73840,72437,72025,73724,71993,72537,72196,70890,70362,68605,67611,66204,67267,70268,71072
Age 16,East,64208,61135,58947,58797,63934,65509,65604,63983,63055,64448,67214,66819,68782,71477,71747,72317,74547,72937,72717,74495,72705,72899,72564,71410,70943,69153,68039,66521,67584,70566
Age 17,East,66660,63584,60638,58567,58446,63710,65405,65405,64084,62730,64803,67237,67220,68921,71992,72137,72931,74965,73476,73273,75249,72736,72978,72926,71806,71311,69505,68371,66832,67848
Age 18,East,70455,66082,63289,59950,57125,56696,61776,64327,64517,62261,61744,64230,66914,66940,68980,71726,71902,72388,74573,72876,73061,74081,71675,72213,72252,71220,70296,68398,67467,66001
Age 19,East,72240,68393,64172,59849,53888,51063,50392,58529,60616,59780,57892,57473,59519,61699,62611,63331,66286,65954,66589,68502,66888,65219,67327,65040,64615,65279,62947,62292,60539,59658
Age 20,East,73091,72041,67860,59611,56594,51313,49422,50973,57730,59706,59807,55933,55697,57627,60580,61133,61847,64650,63600,65108,66858,64668,64771,67281,63389,63370,63621,61659,60992,59586
Age 21,East,72970,73482,71705,63587,59913,57758,53539,51614,52706,58839,61020,61212,58019,57548,60044,62917,63366,64240,65894,66416,67638,68502,66980,67750,68886,65471,65680,65694,64041,63645
Age 22,East,75352,73126,72833,70292,66059,62856,61491,56277,53615,55483,60405,63470,63598,60839,61841,63846,66721,66891,67179,70275,71369,70451,71616,70568,70108,71367,68441,68891,68996,67613
Age 23,East,76125,75942,73205,75289,74108,70336,67603,65173,57309,57058,58625,62519,65597,65977,64546,65328,66986,69733,69123,70666,74287,73308,72740,74422,73068,71868,73568,70641,71268,72026
Age 24,East,78714,76664,75616,76506,77104,75982,72490,69120,62995,59295,59479,59783,64027,67414,68561,67157,67689,68928,70600,71695,73069,75167,74094,74034,75599,73667,72206,74187,71007,72647
Age 25,East,80197,78961,76297,78206,77134,77832,76633,73025,67517,64355,60843,60269,61008,65060,69325,69718,68834,68785,69176,71727,72913,73552,75527,75014,74738,75774,73584,72032,73983,71366
Age 26,East,81085,79933,78249,76873,78064,77056,77780,76314,71369,67263,64093,61757,61593,61868,66771,70366,71080,70309,69226,70493,72755,73163,73671,76344,75712,75322,75867,73429,72047,74133
Age 27,East,80852,81395,80017,79131,77663,78638,77597,78101,75936,71867,67105,64943,63096,62429,63362,67760,71433,72163,71033,70441,71371,73007,73409,74673,77638,76282,75652,75818,73378,72572
Age 28,East,79297,81141,81268,80803,80289,78604,79355,77847,77666,75871,71365,68089,66301,64006,64331,64589,69346,72739,72908,72638,72021,71862,73340,74449,75938,78597,76775,75742,75703,73779
Age 29,East,78901,79840,81365,82678,82435,81988,80335,80368,77807,78356,75766,72330,69441,67491,65844,65316,65763,70713,73607,74344,74283,72565,72505,74516,75990,77004,79181,77252,76141,76245
Age 30,East,78352,79180,79845,82297,83154,82942,82646,80656,80531,78402,78265,76459,73416,69929,68937,66943,65966,67032,71787,74841,75335,74828,73310,73578,75923,77060,77669,79624,77721,77136
Age 31,East,74941,78622,79437,80889,82738,83554,83525,83153,81456,81002,78256,78986,77789,74136,71350,70031,67796,67437,67850,73114,76056,75970,75543,74674,74853,77163,78040,78332,80270,78640
Age 32,East,74548,74827,78360,79470,81118,83035,83870,83751,83911,82236,81172,78965,80224,78404,75333,72292,70867,69111,68374,68719,74414,76770,76689,76712,76064,76071,78069,78861,78934,81212
Age 33,East,73340,74459,74675,78453,79630,81360,83184,83844,84677,84735,82457,81881,79983,80970,79231,76129,73026,72209,70021,69089,69626,74978,77488,77814,78098,77056,77129,78767,79784,79762
Age 34,East,70720,73294,74235,74742,78519,79847,81675,83184,85146,85533,85096,83163,82869,80479,82063,80160,76853,74212,73073,71023,70113,70449,75732,78763,79076,79247,77834,77818,79530,80604
Age 35,East,69650,70986,73465,74591,75097,78936,80370,82082,84533,85825,85981,85775,84076,83504,81349,82865,81022,77589,74826,73930,71750,70527,70885,76758,79888,79970,79998,78642,78536,80254
Age 36,East,67903,69666,71010,73723,74755,75466,79256,80661,83475,85281,86424,86787,86463,84670,84315,82103,83783,81580,78342,75644,74668,72088,71123,71909,77870,80868,80842,80631,79165,79162
Age 37,East,69505,68271,69831,71443,74079,75133,75965,79722,81912,84286,85606,86992,87426,87006,85484,84989,82846,84661,82108,78898,76248,74992,72720,72051,73049,78651,81639,81501,81273,79797
Age 38,East,69185,68984,67942,69597,71283,73944,75045,75957,80233,82171,84221,86142,87689,87925,87683,86106,85651,83494,85193,82636,79351,76479,75422,73453,72850,73733,79172,82082,81986,81867
Age 39,East,68428,69184,68996,68193,69723,71603,74333,75338,76875,80997,82646,84511,86593,88143,88504,88032,86395,86062,83663,85552,82901,79774,76960,76035,74259,73450,74362,79603,82621,82475
Age 40,East,69768,68197,68799,68981,68374,69706,71763,74374,75704,77149,81032,83225,84925,86611,88774,88801,88216,86608,86474,83972,85894,83127,80186,77357,76799,74906,73939,74643,80191,83033
Age 41,East,72623,69926,68289,68908,69130,68612,69908,72007,75001,76125,77505,81461,83460,85097,87194,88901,89010,88292,86869,86642,84002,86238,83456,80698,77941,77205,75350,74279,74966,80465
Age 42,East,75346,72314,69561,68219,68808,69153,68767,70005,72491,75440,76251,77878,81686,83584,85627,87327,89221,89042,88497,86920,86718,84198,86447,83916,81317,78448,77505,75587,74653,75299
Age 43,East,82424,75142,72091,69432,68308,68806,69278,69004,70450,72815,75463,76681,77837,81591,84003,85779,87591,89214,89229,88605,86934,86838,84370,86744,84410,81675,78689,77821,75845,74875
Age 44,East,92217,82444,75034,72185,69443,68423,68905,69408,69260,70633,72885,75650,76727,77827,81804,84172,85863,87657,89351,89201,88390,87014,87046,84610,87115,84720,82028,78877,78013,76000
Age 45,East,70171,91593,82172,74859,72078,69394,68547,68897,69803,69570,70800,72675,75884,76814,77900,81912,83901,86140,87806,89446,89185,88521,87200,87217,84964,87311,84988,82064,79076,78185
Age 46,East,67960,70215,91051,82124,74737,72053,69434,68668,69182,69957,69550,70532,72746,75742,76779,78010,81712,84138,86147,87959,89349,89276,88639,87481,87515,85229,87422,85088,82164,79194
Age 47,East,68240,68181,70404,90789,82222,74744,72158,69485,68879,69330,70083,69231,70604,72666,75695,76894,77771,81812,84297,86234,88014,89292,89475,88749,87828,87884,85267,87430,85106,82226
Age 48,East,64475,68073,68158,70403,90370,82162,74642,72029,69497,68945,69223,69797,69214,70596,72665,75658,76578,77797,81715,84452,86294,88039,89272,89694,89097,88081,87943,85282,87491,85066
Age 49,East,57860,64440,67876,68140,70382,90030,82081,74533,72049,69476,68893,69015,69819,69018,70556,72632,75373,76620,77798,81752,84450,86325,88119,89514,89900,89234,88181,88064,85311,87547
Age 50,East,51850,57594,64181,67550,68112,70391,89626,81955,74580,72065,69249,68716,68862,69604,68952,70399,72596,75467,76729,77750,81685,84424,86525,88343,89680,90139,89197,88090,88001,85355
Age 51,East,55277,51914,57348,64062,67343,68091,70315,89150,81805,74578,71843,69098,68601,68712,69650,68751,70344,72615,75434,76712,77746,81685,84383,86450,88510,89696,90163,89176,88020,87909
Age 52,East,56005,55255,51896,57161,64055,67245,68176,70378,88996,81876,74408,71672,68823,68230,68707,69427,68573,70366,72566,75166,76539,77687,81656,84457,86546,88476,89608,90041,89218,87947
Age 53,East,55547,55872,55031,51806,56974,63916,67038,68081,70482,88682,81641,74287,71445,68566,68224,68547,69230,68488,70332,72443,75030,76411,77562,81738,84462,86486,88349,89397,89903,89145
Age 54,East,55023,55495,55731,54883,51865,56782,63834,66779,68284,70645,88115,81265,74052,71085,68551,67919,68364,69184,68303,70162,72277,74915,76286,77600,81711,84408,86449,88211,89150,89857
Age 55,East,53399,54904,55338,55616,54767,51833,56586,63710,66738,68408,70592,88067,80733,73634,70886,68437,67678,68073,69060,68166,70136,72189,74866,76207,77599,81660,84165,86111,88032,89082
Age 56,East,52671,53190,54560,55134,55479,54604,51757,56346,63711,66571,68328,70174,87892,80215,73420,70570,68109,67410,68039,68940,67972,70143,72115,74817,76153,77503,81541,83840,85831,87903
Age 57,East,51057,52422,52945,54346,54986,55347,54476,51689,56271,63668,66411,67947,69671,87763,79801,73185,70253,67824,67185,67875,68754,67871,69963,72073,74730,76065,77290,81293,83586,85698
Age 58,East,50779,50775,52137,52718,54103,54806,55135,54274,51658,56165,63518,66190,67382,69233,87711,79421,72911,69950,67586,66933,67653,68649,67619,69852,71951,74570,75813,76878,81001,83390
Age 59,East,52125,50538,50400,51882,52515,53822,54554,54941,54364,51574,55948,63177,65841,66938,68765,87638,78993,72442,69617,67267,66643,67486,68479,67490,69768,71857,74238,75411,76567,80715
Age 60,East,52751,51765,50245,50091,51733,52309,53596,54410,54813,54219,51464,55718,62875,65669,66422,68236,87183,78582,72156,69321,66918,66414,67272,68292,67347,69609,71562,73993,74952,76253
Age 61,East,52155,52337,51361,50023,49861,51570,52175,53388,54436,54786,53947,51059,55445,62536,65329,65889,67440,87098,78128,71819,68906,66661,66163,67097,68176,67129,69188,71200,73663,74627
Age 62,East,51466,51684,51847,51068,49733,49540,51322,51937,53348,54330,54465,53584,50697,55044,62151,65008,65075,67083,86957,77544,71373,68694,66394,65868,66952,67867,66725,68844,70725,73225
Age 63,East,50221,51042,51281,51437,50709,49440,49287,51080,51860,53130,54019,54165,53145,50234,54631,61648,64383,64605,66550,86588,76975,71169,68418,66243,65606,66597,67466,66298,68373,70371
Age 64,East,49822,49700,50443,50747,50981,50250,49060,48925,50720,51546,52772,53590,53760,52645,49721,54177,60883,64015,64045,66013,86309,76574,70807,68154,65996,65233,66192,67050,65889,67980
Age 65,East,49678,49258,49086,49835,50269,50455,49789,48723,48685,50509,51254,52303,53137,53263,52163,48894,53668,60409,63709,63587,65442,85742,76122,70422,67841,65502,64717,65646,66556,65350
Age 66,East,48694,49096,48651,48471,49286,49773,49876,49326,48459,48352,50147,50756,51772,52553,52722,51571,48248,53262,59930,63362,62878,65019,85233,75697,70032,67304,65030,64150,65184,65923
Age 67,East,48622,47974,48340,47874,47839,48586,49175,49290,48746,48081,47918,49553,50221,51203,52018,52053,50904,47647,52792,59322,62777,62436,64560,84759,75206,69412,66683,64379,63607,64640
Age 68,East,49410,47774,47062,47560,47116,47115,47810,48488,48648,48180,47574,47321,49063,49601,50615,51299,51364,50395,46982,52314,58706,62216,61888,64108,84124,74528,68753,65918,63821,62955
Age 69,East,49737,48328,46824,46207,46669,46210,46306,47021,47830,48024,47542,46851,46720,48394,48912,49847,50656,50738,49667,46335,51708,58082,61600,61305,63571,83260,73691,68053,65103,63081
Age 70,East,51068,48736,47286,45953,45322,45764,45389,45505,46270,47072,47276,46761,46117,46013,47694,48087,49164,50002,50049,48949,45659,51117,57405,60931,60589,62790,82289,72902,67163,64334
Age 71,East,52947,49900,47495,46161,44959,44330,44787,44566,44526,45367,46133,46361,46003,45187,45303,46863,47295,48496,49240,49317,48181,44991,50474,56728,60237,59813,61996,81187,71875,66259
Age 72,East,33431,51314,48463,46246,44956,43795,43280,43764,43537,43548,44415,45232,45313,45045,44272,44418,46057,46552,47692,48439,48483,47462,44342,49820,55813,59319,58938,61045,79985,70830
Age 73,East,30620,32580,49609,47158,44933,43583,42535,42113,42653,42462,42442,43324,44102,44297,44127,43217,43555,45309,45603,46832,47583,47656,46717,43630,49011,54946,58329,57935,59980,78595
Age 74,East,34478,29545,31744,47752,45698,43445,42225,41278,40914,41375,41318,41312,42223,43012,43269,43066,42258,42591,44316,44677,45829,46696,46857,45877,42806,48113,53913,57190,56913,58748
Age 75,East,35700,33089,28301,30692,45789,44082,41842,40705,39961,39524,40115,39966,40203,40961,41824,42060,42012,41245,41611,43291,43655,44769,45732,45917,44920,41873,47051,52735,56079,55761
Age 76,East,35660,34245,31706,27113,29758,43818,42420,40254,39212,38428,38271,38675,38648,38945,39689,40543,40794,40923,40083,40569,42219,42651,43662,44729,44767,43880,40881,45879,51481,54634
Age 77,East,34519,33984,32560,30290,26003,28663,41816,40661,38558,37607,36939,36766,37229,37156,37580,38320,39252,39604,39666,38853,39351,41071,41515,42679,43505,43645,42687,39656,44699,49961
Age 78,East,32220,32756,32237,31077,28836,24720,27544,39756,38751,36814,35928,35345,35275,35633,35593,36041,36902,37930,38252,38448,37599,38154,39781,40408,41429,42220,42259,41370,38514,43264
Age 79,East,29111,30393,30917,30457,29476,27244,23464,26417,37461,36860,35046,34206,33580,33619,33939,34093,34512,35467,36396,36813,37082,36222,36784,38561,39023,40060,40754,40783,40005,37057
Age 80,East,26592,27229,28519,29014,28719,27606,25580,22102,25146,35145,35027,33073,32378,31912,31965,32296,32444,32907,33903,34890,35374,35598,34726,35469,36998,37535,38480,39160,39250,38349
Age 81,East,24891,24731,25357,26539,27009,26763,25706,23928,20770,23916,32926,32828,31110,30479,30132,30196,30610,30773,31226,32209,33304,33778,34109,33275,33884,35419,35940,36784,37492,37470
Age 82,East,22323,22954,22844,23396,24561,24963,24877,23939,22162,19301,22639,30622,30589,29152,28655,28280,28362,28858,29039,29545,30617,31593,31927,32478,31495,32236,33598,34014,35053,35429
Age 83,East,20085,20433,21071,20859,21508,22495,22863,23031,21984,20368,17792,21055,28319,28416,27037,26669,26387,26511,27008,27284,27845,28846,29748,30188,30538,29658,30414,31679,32141,33006
Age 84,East,17458,18217,18644,19073,18994,19541,20510,20884,21027,20065,18677,16332,19458,25869,26165,24975,24666,24489,24585,25114,25414,26046,26856,27959,28184,28590,27750,28462,29831,29991
Age 85,East,-,-,-,-,-,-,-,-,-,-,17917,16924,14784,17854,23408,23877,22821,22583,22508,22685,23201,23560,24046,24974,25855,26134,26442,25698,26567,27580
Age 86,East,-,-,-,-,-,-,-,-,-,-,17021,16053,15240,13266,16188,20995,21689,20739,20504,20607,20783,21260,21595,22182,22874,23756,24038,24184,23661,24244
Age 87,East,-,-,-,-,-,-,-,-,-,-,14915,15059,14230,13537,11794,14643,18698,19485,18598,18589,18629,18789,19358,19708,20007,20850,21560,21765,22116,21369
